sep=	
P0	source_photonEnergy	M1_outgoingMaxF_X	M1_outgoingMinF_X	M1_outgoingMaxF_Z	M1_outgoingMinF_Z	M1_intensityH_width_X	M1_intensityH_centerWidth_X	M1_intensityH_centerMass_X	M1_intensityH_width_Z	M1_intensityH_centerWidth_Z	M1_intensityH_centerMass_Z	M1_energyH_width	M1_energyH_centerWidth	M1_energyH_centerMass	M1_pathlengthH_width	M1_pathlengthH_centerWidth	M1_pathlengthH_centerMass	M1_phi_width	M1_phi_centerWidth	M1_phi_centerMass	M1_psi_width	M1_psi_centerWidth	M1_psi_centerMass	M1_incoming_NO	M1_absorbed_NO	M1_outgoing_NO	M1_incoming_R	M1_absorbed_R	M1_outgoing_R	M1_efficiency	M1_S1S0	M1_S2S0	M1_S3S0	M1_focus_horizontal_z0	M1_focus_horizontal_width	M1_focus_horizontal_theta	M1_focus_horizontal_depth	M1_focus_vertical_z0	M1_focus_vertical_width	M1_focus_vertical_theta	M1_focus_vertical_depth
0	10	0.0439457356342727	-0.044712938563304	0.174523507942557	-0.178512191675633	0.0236064241267951	-8.37743742296646e-05	-0.000382199420596453	0.091891009718743	-1.12811701193788e-05	0.000733413940276734	0	10	10	0.99748890996912	-0.000968568046432527	-0.00343320783355594	0.0521590372407612	-2.93825001802736e-05	0.000245615020478082	0.0133998904918169	-75.0000874642361	-74.9999380185426	1000000	564925	435075	100	56.4925	43.5075	43.5075	0.496	-0.550	0.672	-15.1092	0.00999557	9.98978e-05	200.116	-15.0626	0.00999648	0.000100054	199.822
1	11	0.0444784206163763	-0.0460547303303981	0.176908602572999	-0.178668506431179	0.0236844489658656	1.86795139747765e-05	-1.62518093325265e-06	0.0907291700118253	-0.00032100921280883	-2.00321253182867e-05	0	11	11	0.995735951297848	-0.000528520524583964	0.00559215935509627	0.051952436998058	-0.000129412358581563	4.48791990881464e-05	0.0135441928159199	-74.9999746531158	-74.999787185951	1000000	566983	433017	100	56.6983	43.3017	43.3017	0.472	-0.533	0.702	-15.0499	0.0100056	9.99113e-05	200.289	-15.1212	0.0099786	0.00010015	199.274
2	12	0.0462134196802521	-0.0456943714261109	0.174901053333121	-0.171268560879884	0.0236857352618366	0.000128219113495153	-0.000119427601472537	0.0921192472768293	-0.000294299516316869	0.000870462269157879	0	12	12	0.997959971574881	7.6369541328114e-05	-0.00462920414776957	0.0520084599046018	6.49005608263295e-06	0.000230747361085734	0.0133758797680683	-75.0000085938446	-75.0002379247665	1000000	576315	423685	100	57.6315	42.3685	42.3685	0.465	-0.510	0.723	-15.061	0.00998987	0.000100196	199.407	-14.6585	0.0099923	9.98882e-05	200.07
3	13	0.0440904343060919	-0.0450062328071266	0.169480584129475	-0.176156555456485	0.023768312443855	-0.000131215319864349	0.000114825973204329	0.0913001197322933	-9.24722532025107e-05	0.00178126247292421	0	13	13	0.993977613908513	-0.00145213739151601	-2.31554583862703e-05	0.0527502692199313	0.000125826461495105	-0.000353675332100942	0.0132885686731267	-75.0000041786645	-75.0000560535411	1000000	570227	429773	100	57.0227	42.9773	42.9773	0.436	-0.505	0.745	-14.9255	0.00999275	9.99635e-05	199.928	-14.854	0.00999432	9.9923e-05	200.04
4	14	0.0441455503476652	-0.0455405625202847	0.184818695345891	-0.173284596236305	0.0235339636057063	-0.000133836601226745	-0.000391200333007359	0.0917418529120505	8.88606343143333e-05	-0.00104227510668134	0	14	14	0.997811975573972	-7.8480225918387e-05	0.00436499027354875	0.0519509198323512	9.97550975503532e-05	0.00030317205542843	0.0135472679595042	-75.0000542803869	-74.9998443063541	1000000	556824	443176	100	55.6824	44.3176	44.3176	0.401	-0.507	0.763	-14.9168	0.0100037	9.99756e-05	200.123	-14.9642	0.00999225	9.97315e-05	200.383
5	15	0.0464936430376016	-0.0462189370201732	0.176044130693924	-0.176611905474035	0.0237460804127649	0.000110856480902307	-0.000371404081169299	0.0911090415483342	0.000438058040133978	0.00143788291797012	0	15	15	0.997641161975463	-0.000604266637555695	0.0014841688163294	0.0516744343787308	-2.86395583025123e-05	-9.65411173662889e-05	0.0135067488841255	-74.999959161774	-75.0002358117266	1000000	551449	448551	100	55.1449	44.8551	44.8551	0.381	-0.503	0.776	-15.04	0.00999686	9.97555e-05	200.427	-15.2014	0.00999342	9.99364e-05	199.996
6	16	0.0456597054844175	-0.0450506330772161	0.172797507031206	-0.180786922022265	0.0237839654045771	2.9775340701782e-06	0.000119665607002474	0.0923362927751523	-1.51468310931671e-05	-0.000744335925012191	0	16	16	0.996718200952164	0.000232252685856527	0.00105039916794869	0.0519393729508447	0.000170246666907892	0.000204258157031484	0.0134309692308303	-74.9999385083602	-75.0001630072816	1000000	556370	443630	100	55.637	44.363	44.363	0.375	-0.489	0.787	-15.1087	0.00999341	0.000100154	199.56	-14.9027	0.0100117	9.98534e-05	200.528
7	17	0.0453184021571147	-0.0427665922746338	0.178592865305728	-0.179033824782668	0.0238674054248123	-3.55755708627246e-06	0.000134535413155452	0.0909103539796434	-4.38242382140575e-05	0.00103818538327402	0	17	17	0.996057554224458	-0.000411262802156198	0.00475318085673071	0.052263060207217	1.21390118743327e-05	-0.00042476375705694	0.013423364470515	-75.000044691154	-74.9998636195187	1000000	569136	430864	100	56.9136	43.0864	43.0864	0.379	-0.472	0.796	-15.0226	0.0100054	0.000100002	200.103	-14.9605	0.00997643	9.99038e-05	199.721
8	18	0.0467265522349106	-0.0454755273705898	0.175236939729661	-0.175853780047224	0.0238691854339599	-5.96315227188206e-06	-1.39596275429837e-05	0.0924815228617347	-0.000164975374624066	-0.0010521560500352	0	18	18	0.995992214220803	-0.000370437868571549	7.38831143388685e-05	0.0523394231908192	6.56181742416488e-05	-0.000263805271077958	0.013455024500285	-75.0000182388333	-74.9998909913801	1000000	584982	415018	100	58.4982	41.5018	41.5018	0.400	-0.460	0.793	-15.0317	0.0100157	0.000100159	199.995	-15.1337	0.0099954	0.000100197	199.516
9	19	0.0448872157351413	-0.0445687968182099	0.168931038064822	-0.166735797657539	0.0240170865168857	-2.63301714424624e-07	-6.05643417225105e-05	0.0922904806465043	-0.000190790802447501	0.000219965906442132	0	19	19	0.996962175216624	0.000532353619714931	0.00651807595228127	0.0517948054292509	1.25557635371094e-05	0.000324566726722972	0.0133230110886055	-74.9999874176938	-74.9998786585238	1000000	594161	405839	100	59.4161	40.5839	40.5839	0.430	-0.460	0.777	-14.8391	0.010019	9.98916e-05	200.597	-14.9861	0.00999642	0.000100063	199.803
