# calculated optical constants
# columns: E, rs, rp, ∆
# 
# 15 deg incidence angle.
# 1e6 rays
# 
130.0	 0.04812	 0.04628	-5.2256
131.0	 0.04770	 0.04588	-5.0542
132.0	 0.04728	 0.04547	-4.8779
133.0	 0.04672	 0.04493	-4.7065
134.0	 0.04604	 0.04423	-4.4779
135.0	 0.04534	 0.04352	-4.3063
136.0	 0.04445	 0.04267	-4.1305
137.0	 0.04363	 0.04183	-3.9590
138.0	 0.04274	 0.04090	-3.7874
139.0	 0.04176	 0.03992	-3.6157
140.0	 0.04078	 0.03894	-3.4439
141.0	 0.03980	 0.03797	-3.2721
142.0	 0.03867	 0.03681	-3.1575
143.0	 0.03753	 0.03570	-2.9856
144.0	 0.03637	 0.03453	-2.8137
145.0	 0.03507	 0.03323	-2.6990
146.0	 0.03389	 0.03204	-2.5843
147.0	 0.03262	 0.03078	-2.4696
148.0	 0.03157	 0.02973	-2.3549
149.0	 0.03033	 0.02851	-2.2401
150.0	 0.02934	 0.02751	-2.1827
151.0	 0.02826	 0.02646	-2.0680
152.0	 0.02734	 0.02554	-2.0106
153.0	 0.02637	 0.02458	-1.9532
154.0	 0.02548	 0.02371	-1.8384
155.0	 0.02462	 0.02286	-1.7809
156.0	 0.02369	 0.02195	-1.7235
157.0	 0.02289	 0.02119	-1.6661
158.0	 0.02202	 0.02035	-1.6678
159.0	 0.02136	 0.01970	-1.6103
160.0	 0.02067	 0.01902	-1.5528
161.0	 0.01997	 0.01835	-1.5528
162.0	 0.01936	 0.01777	-1.4953
163.0	 0.01881	 0.01724	-1.4953
164.0	 0.01823	 0.01668	-1.4953
165.0	 0.01770	 0.01617	-1.4378
166.0	 0.01714	 0.01563	-1.4393
167.0	 0.01673	 0.01524	-1.3817
168.0	 0.01621	 0.01475	-1.3817
169.0	 0.01576	 0.01433	-1.3817
170.0	 0.01528	 0.01386	-1.3817
171.0	 0.01488	 0.01349	-1.3242
172.0	 0.01447	 0.01310	-1.3242
173.0	 0.01408	 0.01274	-1.3242
174.0	 0.01372	 0.01240	-1.3242
175.0	 0.01338	 0.01208	-1.3255
176.0	 0.01310	 0.01181	-1.3255
177.0	 0.01278	 0.01152	-1.3255
178.0	 0.01260	 0.01134	-1.3255
179.0	 0.01228	 0.01104	-1.3255
180.0	 0.01209	 0.01086	-1.3255
181.0	 0.01179	 0.01057	-1.3255
182.0	 0.01154	 0.01034	-1.3255
183.0	 0.01136	 0.01018	-1.3255
184.0	 0.01129	 0.01011	-1.3255
185.0	 0.01099	 0.00984	-1.3255
186.0	 0.01082	 0.00967	-1.3269
187.0	 0.01067	 0.00953	-1.3269
188.0	 0.01043	 0.00931	-1.3269
189.0	 0.01027	 0.00917	-1.3269
190.0	 0.01025	 0.00914	-1.3269
191.0	 0.01002	 0.00892	-1.3269
192.0	 0.00999	 0.00890	-1.3845
193.0	 0.00986	 0.00878	-1.3845
194.0	 0.00972	 0.00865	-1.3845
195.0	 0.00951	 0.00845	-1.3845
196.0	 0.00947	 0.00842	-1.3845
197.0	 0.00933	 0.00829	-1.3845
198.0	 0.00937	 0.00832	-1.3845
199.0	 0.00926	 0.00822	-1.3845
200.0	 0.00914	 0.00811	-1.3845
