sep=	
P0	source_photonEnergy	M1_outgoingMaxF_X	M1_outgoingMinF_X	M1_outgoingMaxF_Z	M1_outgoingMinF_Z	M1_intensityH_width_X	M1_intensityH_centerWidth_X	M1_intensityH_centerMass_X	M1_intensityH_width_Z	M1_intensityH_centerWidth_Z	M1_intensityH_centerMass_Z	M1_energyH_width	M1_energyH_centerWidth	M1_energyH_centerMass	M1_pathlengthH_width	M1_pathlengthH_centerWidth	M1_pathlengthH_centerMass	M1_phi_width	M1_phi_centerWidth	M1_phi_centerMass	M1_psi_width	M1_psi_centerWidth	M1_psi_centerMass	M1_incoming_NO	M1_absorbed_NO	M1_outgoing_NO	M1_incoming_R	M1_absorbed_R	M1_outgoing_R	M1_efficiency	M1_S1S0	M1_S2S0	M1_S3S0	M1_focus_horizontal_z0	M1_focus_horizontal_width	M1_focus_horizontal_theta	M1_focus_horizontal_depth	M1_focus_vertical_z0	M1_focus_vertical_width	M1_focus_vertical_theta	M1_focus_vertical_depth
10	20	0.0456357924750786	-0.0441947073108485	0.0642726458442032	-0.0629985485539315	0.0233756170122304	-2.33075930037713e-05	0.000267450818390691	0.0331175181924122	-1.21824659796779e-05	0.000268405455426418	0	20	20	0.996930414505935	-0.00065867491029642	-0.00137611783761749	0.0191159799451145	6.07754795071448e-05	-9.37114941934325e-05	0.0134051754143227	-45.0000432529652	-45.000094341364	1000000	855497	144503	100	85.5497	14.4503	14.4503	0.620	-0.548	-0.561	-15.1949	0.00999686	0.000100518	198.907	-15.141	0.00998211	9.98941e-05	199.854
11	21	0.0452644277227395	-0.0449555051379786	0.0660326269444878	-0.068763477471208	0.0238375574599531	0.000114403656732149	-0.000346537977591259	0.0332339676992731	-2.42049660256968e-05	0.000544485483149469	0	21	21	0.998378030620671	-0.000404049345570923	0.00103743203048001	0.0185277412433386	-9.65966734797381e-05	-4.8189112536505e-05	0.0132444191961808	-44.9998945308958	-45.0002097447611	1000000	832846	167154	100	83.2846	16.7154	16.7154	0.582	-0.585	-0.565	-15.3577	0.0100036	9.98755e-05	200.322	-14.9674	0.00997552	9.97717e-05	199.967
12	22	0.0479073432223745	-0.0446348987754306	0.0664446513175604	-0.0637923230872239	0.023659715367007	-4.97030187373328e-05	0.000411349255757712	0.0337976038409472	-1.16534063061211e-05	0.000366308639043467	0	22	22	0.997894974138213	-1.0954310484923e-05	-0.000343813037642526	0.0189131673546733	-0.000139896521195731	-6.68674460215235e-05	0.0136440061089461	-45.0000212780082	-45.0000957322768	1000000	813452	186548	100	81.3452	18.6548	18.6548	0.551	-0.629	-0.548	-15.1335	0.0100234	0.000100022	200.425	-14.9361	0.0100096	9.9924e-05	200.345
13	23	0.0470075693148752	-0.0453864942328511	0.0627667992424215	-0.0629947405134423	0.0235391307931645	-3.00088993497854e-05	-0.000412493000581556	0.0333009194948416	3.00634305563582e-06	-0.000113756050896044	0	23	23	0.997578450593704	0.000384128987437171	0.000760395773768074	0.0191865446324104	5.90955254754656e-05	0.000137883586983786	0.0135611980478195	-44.9999310698272	-45.0001085608008	1000000	804028	195972	100	80.4028	19.5972	19.5972	0.537	-0.672	-0.509	-14.6548	0.0100093	0.000100055	200.076	-15.121	0.00999682	9.99162e-05	200.104
14	24	0.046365459314161	-0.0442973829155542	0.0671150865283321	-0.0642276729980846	0.0238490484746026	4.08102134247645e-05	0.000151136110716835	0.0334584348256422	0.000144081657635155	0.000528562806525468	0	24	24	0.998718992545085	0.00014175404645933	0.00194876467909744	0.0188776297835639	6.95897774038567e-05	-1.59314485776579e-06	0.0136188458630201	-44.9999869727643	-44.9997989841296	1000000	820095	179905	100	82.0095	17.9905	17.9905	0.563	-0.698	-0.442	-14.609	0.0099898	9.99667e-05	199.863	-15.0295	0.0100049	9.97086e-05	200.683
15	25	0.0445213395083774	-0.0440764462042173	0.0646012017053766	-0.0633394540850301	0.023991451101824	7.84826984365685e-05	0.00039269803413855	0.0329374848593344	2.14947390581414e-05	0.000141606344385675	0	25	25	0.998861758292759	-0.000132085517040581	-0.00569817066345102	0.0189730302411703	-6.12722517393301e-05	-0.000168051860487149	0.0134374486608261	-45.0000447204325	-45.0000201783887	1000000	846436	153564	100	84.6436	15.3564	15.3564	0.605	-0.711	-0.360	-14.9078	0.0100253	0.00010007	200.366	-15.1684	0.0100285	0.000100271	200.028
16	26	0.0470377950975514	-0.0463325122422879	0.064381686671455	-0.0643334196871788	0.0234431330682485	-0.00015045516774609	7.48370384547753e-06	0.0339505567065963	-4.11240673633892e-05	7.83140821976266e-05	0	26	26	0.998423213473953	-0.000547056056767248	0.00395261161406424	0.018982025245651	2.2009108042122e-05	-0.000132626598866585	0.0133949581960597	-45.0000019217154	-44.999981760306	1000000	850160	149840	100	85.016	14.984	14.984	0.612	-0.689	-0.388	-14.5948	0.0100093	0.00010003	200.126	-15.0901	0.00997493	9.99507e-05	199.597
17	27	0.0463883172381671	-0.0484019501193129	0.0638088789056171	-0.0647360310642693	0.0237814237839621	-1.3209547806271e-05	-3.00376144521594e-05	0.0338951595676045	-1.55806783158283e-05	-0.000349580475463566	0	27	27	0.998052011859533	9.86559522982433e-05	0.0038645556256709	0.0190294926515528	6.40243858320479e-05	0.000135570438099905	0.0133098364750654	-44.9999907942741	-45.000067533345	1000000	862309	137691	100	86.2309	13.7691	13.7691	0.634	-0.684	-0.361	-15.1995	0.0100109	0.000100041	200.137	-15.484	0.0100206	9.99906e-05	200.431
18	28	0.0446946640083209	-0.0462198679736975	0.0627388593250521	-0.0643500281079881	0.0237872816933658	-4.97375006102748e-05	0.000380195197743669	0.0328147782964037	0.000182661517563455	-0.000360726493148791	0	28	28	0.998408393657779	0.000126769524372072	0.00649294164845138	0.0190292235423898	-5.28766725545228e-05	-0.000205866944987212	0.0132580419574305	-45.0000129211317	-45.0002312936787	1000000	864549	135451	100	86.4549	13.5451	13.5451	0.637	-0.672	-0.377	-14.6207	0.00999912	9.98751e-05	200.232	-15.1096	0.00997061	0.000100243	198.929
19	29	0.0462029386179366	-0.0458541355567565	0.0646167261138103	-0.0630588102990135	0.0237523062047425	-0.000259423769781596	-5.30687655376436e-05	0.0339956125899612	-0.000160796226790976	0.000168686132096599	0	29	29	0.996539103280751	0.000363269838054292	0.00138665184084275	0.0190404016355748	2.59867034989574e-05	0.00010643676366149	0.0133308014068011	-45.0000770573286	-44.9999631048448	1000000	869006	130994	100	86.9006	13.0994	13.0994	0.644	-0.670	-0.369	-15.2042	0.0100138	0.000100056	200.165	-15.2768	0.0100091	9.97849e-05	200.614
