sep=	
P0	source_photonEnergy	M1_outgoingMaxF_X	M1_outgoingMinF_X	M1_outgoingMaxF_Z	M1_outgoingMinF_Z	M1_intensityH_width_X	M1_intensityH_centerWidth_X	M1_intensityH_centerMass_X	M1_intensityH_width_Z	M1_intensityH_centerWidth_Z	M1_intensityH_centerMass_Z	M1_energyH_width	M1_energyH_centerWidth	M1_energyH_centerMass	M1_pathlengthH_width	M1_pathlengthH_centerWidth	M1_pathlengthH_centerMass	M1_phi_width	M1_phi_centerWidth	M1_phi_centerMass	M1_psi_width	M1_psi_centerWidth	M1_psi_centerMass	M1_incoming_NO	M1_absorbed_NO	M1_outgoing_NO	M1_incoming_R	M1_absorbed_R	M1_outgoing_R	M1_efficiency	M1_S1S0	M1_S2S0	M1_S3S0	M1_focus_horizontal_z0	M1_focus_horizontal_width	M1_focus_horizontal_theta	M1_focus_horizontal_depth	M1_focus_vertical_z0	M1_focus_vertical_width	M1_focus_vertical_theta	M1_focus_vertical_depth
0	10	0.0467054935658553	-0.0456286272552674	0.0890661331847846	-0.090973324275328	0.0239106195868849	0.000146460932914736	-9.48008282929749e-05	0.0484300132568332	-0.000102883997749305	-0.000338366770376422	0	10	10	0.99840870387541	-0.000292398791019666	0.00354941223299399	0.0269703239499106	-6.84003022003304e-05	-0.000272924596660097	0.0134659801496603	-60.0000243674882	-59.9998512748678	1000000	745778	254222	100	74.5778	25.4222	25.4222	0.695	-0.717	-0.059	-14.7302	0.0100045	0.000100034	200.023	-14.8121	0.0100185	0.000100093	200.186
1	11	0.0467587365404718	-0.0445098807287411	0.0919118648759992	-0.0900789099486702	0.023745401155685	-5.11420742957541e-05	0.000168685855938856	0.0478962384049588	0.000161932692280483	-0.000657149004539642	0	11	11	0.997509847624188	3.58255712394895e-05	-0.000455186730490276	0.0267432605285698	7.75761047887864e-05	-0.000207858205927634	0.0134690162666605	-59.9999536287892	-60.0001372746388	1000000	755543	244457	100	75.5543	24.4457	24.4457	0.693	-0.721	-0.002	-14.6185	0.00997628	0.000100033	199.459	-14.8586	0.0100041	9.99112e-05	200.26
2	12	0.0455262198775364	-0.0437233071090986	0.0889301423367891	-0.0889401228474178	0.0240436954917505	-0.0002146220655524	-0.000110272124171099	0.047833245162569	5.05358165824067e-05	-0.000479830054043812	0	12	12	0.997470452377086	-0.000106139145221895	-0.00086934133937433	0.0269135502541599	-2.53008779514535e-05	-0.000262120323321173	0.0135007509890698	-60.0000060247392	-59.9999993771509	1000000	770388	229612	100	77.0388	22.9612	22.9612	0.705	-0.708	0.040	-15.0245	0.00998751	9.98474e-05	200.055	-15.1364	0.00999671	0.000100334	199.269
3	13	0.0463230948133249	-0.045675157259225	0.088729398818441	-0.0900814177118601	0.0237966999535087	7.98962168059025e-05	-0.000275523826084284	0.0477157117782224	-2.48727623080383e-05	-0.000773419173756312	0	13	13	0.99837354034329	-0.000325395289235919	0.000590101164853252	0.0268944561656666	9.21653524952916e-05	-0.000154039810922151	0.0133966207787741	-59.9998797145185	-60.0000188663969	1000000	771413	228587	100	77.1413	22.8587	22.8587	0.686	-0.722	0.089	-14.9723	0.00998316	9.99416e-05	199.78	-15.1258	0.00999673	9.98067e-05	200.322
4	14	0.0449556912865502	-0.0448693295414805	0.090238970875428	-0.0904401747665616	0.0236150949856934	3.18930488945289e-05	0.000253907423304049	0.0471904151110442	-0.000489441455883168	0.000317848842803753	0	14	14	1.00040291803118	0.000762511055162118	0.000813788435439666	0.0270048887954373	2.90685242685818e-05	-0.000115613105978928	0.0133455390792381	-59.999943941574	-60.0001278362206	1000000	764679	235321	100	76.4679	23.5321	23.5321	0.654	-0.744	0.134	-15.1536	0.0100079	0.000100024	200.11	-15.014	0.0100009	0.000100185	199.647
5	15	0.0459256322457764	-0.0467702000121857	0.0925023112258012	-0.0898019119944111	0.0238661914285048	-5.03024605837694e-05	-3.35126656000606e-05	0.0475699257540369	3.16646630242924e-05	-0.000530380252330612	0	15	15	0.998261192477806	0.000256260157008192	-0.00553130039597893	0.027176686899713	8.05272962687426e-06	0.000264668048708512	0.0136376332328662	-60.000001907566	-59.9998676031705	1000000	763974	236026	100	76.3974	23.6026	23.6026	0.638	-0.751	0.169	-15.0443	0.0100079	9.99744e-05	200.209	-14.8595	0.0100292	0.000100074	200.434
6	16	0.0458847317709519	-0.0462494833829412	0.0926911166414187	-0.0881136055398468	0.0232676715559615	0.000122286263106768	-0.000284802995264191	0.047480166062997	2.71765122537605e-05	0.00057653655318754	0	16	16	0.998152861550343	-0.000302303937856241	-0.00726764157099435	0.0268478809668043	0.000269985532242431	-6.50262715935351e-05	0.0133214879189192	-59.999984506033	-59.9999780836689	1000000	773423	226577	100	77.3423	22.6577	22.6577	0.641	-0.742	0.197	-14.9588	0.0100196	0.000100374	199.646	-15.0082	0.0100024	0.000100026	199.996
7	17	0.0465319012830804	-0.0468793190824568	0.0930135332011568	-0.0913414898875447	0.0238875698979932	4.34857342364661e-06	-0.000207381458988597	0.0474823697267771	0.000194289230203482	-8.5716441799083e-05	0	17	17	0.996712235105362	0.000181351260456597	-0.000508052125363534	0.0267743328569062	-8.0588706749523e-05	0.00040572564354719	0.0134389026719254	-60.0000515910051	-60.0000475052958	1000000	786283	213717	100	78.6283	21.3717	21.3717	0.657	-0.722	0.217	-15.2711	0.00998999	9.99178e-05	199.964	-14.6159	0.00999839	9.98031e-05	200.362
8	18	0.0456002690924579	-0.0457235586052046	0.0891707091814084	-0.0904178390003023	0.0239487842196763	9.15976968306857e-05	0.000391895218125757	0.0472724031615083	0.000180249568706513	-0.000324940597725781	0	18	18	0.99710791007083	-0.000212873297013749	-0.00712539943094059	0.0270669671738365	-7.45504398186395e-05	-0.000507781127463074	0.0134531794604772	-60.0000465888016	-60.0000648381495	1000000	798269	201731	100	79.8269	20.1731	20.1731	0.686	-0.698	0.204	-15.1727	0.0100018	0.000100185	199.667	-15.1198	0.00999872	0.000100199	199.577
9	19	0.0469469098673472	-0.0453617418018657	0.0897463322129722	-0.092575370073515	0.0236701737097614	6.10950308237868e-05	0.000394700680269117	0.0475813441653766	-0.000121283690822059	0.000168090352080832	0	19	19	0.997505824753877	-0.000204758913259107	-0.00023949601320794	0.0268210741875935	7.99543920734763e-05	0.00028435033738667	0.0131613328776671	-60.0000431006309	-60.000001124146	1000000	800233	199767	100	80.0233	19.9767	19.9767	0.714	-0.682	0.160	-14.8971	0.0100178	9.97346e-05	200.888	-15.1235	0.00999349	9.98483e-05	200.173
